  index	           x	       x_err	           y	       y_err	        dist	    dist_err
    232	141.01756593	  2.60930485	193.39742676	  2.60637624	239.37587582	  1.14469374
    233	134.10301292	  3.44914266	190.33526829	  2.85300671	232.84327136	  3.89610674
    234	131.75561548	  3.19006072	193.97494701	  1.71382248	234.51270540	  1.65135079
    235	131.03053906	  1.70608385	200.53220367	  2.17377991	239.55084158	  2.27973918
    236	129.10002105	  2.62258922	209.87170125	  2.50340794	246.41242052	  2.64772767
    237	125.55012955	  2.20534781	207.56469721	  3.36354998	242.58866588	  3.58535551
    238	124.33241615	  3.21456668	205.17676330	  1.36339955	239.92681388	  1.83580554
    239	129.99474087	  1.52726006	207.40644083	  2.24530514	244.78404603	  2.05160431
    240	132.67968516	  2.32812251	202.39391263	  1.64007172	242.01962066	  1.34459260
    241	140.71187003	  2.05106679	200.00297497	  1.84461951	244.55117339	  1.83124422
    242	139.72517949	  2.25538378	192.78339424	  2.44030816	238.09641797	  3.11456042
    243	135.12577790	  1.21121533	187.64994147	  1.64728238	231.24350264	  1.44894964
    244	139.86863464	  2.67755327	186.84706400	  3.57551623	233.42927889	  2.40533711
    245	146.40166117	  3.17631537	183.18833642	  1.47577985	234.52078269	  1.91895445
    246	140.31425875	  3.98845219	173.50314448	  5.22075797	223.14675970	  6.33403903
    247	139.72207285	  2.00598743	169.30250720	  2.55755743	219.51535029	  3.02863984
    248	138.26730526	  2.34094390	163.78424176	  2.73145599	214.35313196	  2.96668862
    249	132.24206739	  3.34881248	170.56347327	  4.12125912	215.86966686	  2.88947242
    250	131.67992254	  3.17989932	166.91098239	  1.92294799	212.60915509	  3.16775957
    251	138.83703048	  2.51695686	161.79833749	  1.84618957	213.20784745	  2.56521353
    252	134.72692176	  2.05239526	166.05866341	  2.63731170	213.85719894	  1.75765267
    253	134.83573822	  2.99284876	164.65302540	  1.34127790	212.83121698	  2.21908177
    254	131.90009559	  5.21863380	164.94283888	  1.73546873	211.22408889	  4.29017243
    255	127.97292574	  1.84032371	163.50318485	  1.28276884	207.63557564	  1.69150675
    256	123.79933566	  1.82421978	165.08857960	  2.86405100	206.36651425	  2.21517246
    257	121.65797304	  6.07379668	169.00399934	  2.92308836	208.34105856	  1.56619498
    258	119.52697616	  1.98717208	169.68189765	  2.09801757	207.57178182	  0.97485485
    259	128.02949360	  4.23261399	164.35524109	  2.39602062	208.37667176	  2.64860469
    260	130.17560040	  3.09500036	170.51657154	  3.04558124	214.55708174	  2.38775564
    261	127.35147439	  1.75708566	171.23347179	  3.56324524	213.42503855	  2.19929003
    262	127.39953078	  1.01871053	163.68452032	  1.80531103	207.42548317	  1.49281168
    263	126.09403472	  1.78712529	156.31373468	  3.46727951	200.84009811	  3.48712986
    264	133.47433242	  4.90498004	153.65269097	  3.04918401	203.56392559	  4.43073458
    265	135.26174787	  2.50067314	158.97955301	  2.26641732	208.75040103	  2.21332245
    266	138.40021474	  1.80298156	152.65960229	  1.48977080	206.06513797	  1.48414406
    267	138.70522202	  1.50794015	151.74823631	  2.64208431	205.60506788	  1.57365672
    268	132.82288001	  7.11210813	138.13399405	  5.61283949	191.64357643	  8.81722353
    269	126.71955017	  3.59636158	127.47365412	  2.96963869	179.79636894	  1.54763575
    270	124.04129761	  2.41555459	125.10711801	  1.95041010	176.19716580	  1.49407451
    271	130.75890129	  1.92862345	122.34871507	  1.56110284	179.08176051	  1.72569742
    272	128.82273853	  2.23332745	114.49149584	  3.04265184	172.35550845	  3.38005510
    273	126.07671026	  1.38008165	115.10462549	  2.24710100	170.72572057	  2.02338862
    274	128.60301233	  4.91308905	114.18530977	  1.51862444	172.02444322	  3.32495823
    275	143.51884199	  2.01621661	107.31072554	  4.45631427	179.24571177	  2.85455739
    276	140.41422268	  2.64335307	 98.69761685	  1.78198151	171.64663536	  2.22909103
    277	129.77151576	  2.24221045	 98.73695351	  2.42768863	163.08587533	  1.88433997
    278	128.15642991	  1.69437104	103.16016625	  1.79754471	164.52600328	  1.84030804
    279	123.71889873	  2.86136849	106.07283211	  2.34317092	162.98139969	  2.92452549
    280	124.79461700	  3.14658074	118.43987707	  3.71928529	172.10010561	  2.64359839
    281	118.05169577	  1.82754462	115.71557073	  5.33830041	165.36281518	  3.64320058
    282	123.44959006	  3.18513700	109.48371875	  2.40405282	165.00964232	  3.77206374
    283	117.44178451	  6.46895940	107.64931026	  2.43944028	159.39316072	  4.75030194
    284	101.79726785	  4.99562998	111.48430738	  3.40564231	151.07247646	  2.25745666
    285	 96.11455380	  2.40371513	115.90832140	  1.78232241	150.58885421	  2.16747096
    286	106.25918356	  4.04029101	125.59397167	  3.20611478	164.52284745	  4.86781277
    287	112.81695738	  2.33382867	122.41004236	  2.98460885	166.49096541	  2.64526481
    288	114.99800268	  4.52633805	126.17118473	  2.52282220	170.78206461	  2.01177800
    289	108.47708315	  1.92420974	126.77338769	  1.58987719	166.86104372	  1.54653653
    290	113.36125650	  1.65127695	128.79700286	  3.02813775	171.59377768	  2.62948955
    291	120.09606718	  3.81576781	116.95434086	  5.45385584	167.73598475	  3.21360340
    292	123.84446847	  2.76444658	103.74260676	  3.28394188	161.60706028	  1.25113436
    293	122.28945855	  2.89940560	106.51895034	  2.00394111	162.18390203	  3.13092823
    294	126.13773690	  2.58840008	114.33770105	  2.95644119	170.25764257	  3.40794067
    295	125.39896495	  2.61393928	116.53861605	  2.30253993	171.20131872	  2.89694288
    296	113.67282807	  3.90262265	111.64762450	  1.35136772	159.35916602	  2.90116573
    297	106.18171839	  2.74280897	113.08151097	  1.47526102	155.13480284	  2.20857136
    298	113.30487946	  1.39556165	106.16305943	  5.81864117	155.33742600	  3.83133878
    299	115.84774965	  4.27050648	 98.68965582	  1.82191026	152.22719130	  2.96446900
    300	110.32120634	  3.77148686	 92.25070216	  2.19900368	143.81868422	  4.02571940
    301	106.75018679	  1.75062449	 82.60034109	  2.84587260	135.01074390	  1.29670188
    302	111.92713879	  3.24221280	 83.08630136	  2.86568397	139.40162287	  4.11454755
    303	117.66212468	  1.59777552	 89.26358010	  4.58618297	147.74790034	  2.55072987
    304	118.60781750	  1.75067028	 99.68154560	  2.31636941	154.94021451	  2.48701536
    305	126.94029355	  1.98723132	 95.85763082	  3.25980842	159.08857620	  2.81493779
    306	121.01884624	  3.30996212	 88.84865414	  4.30038273	150.14892838	  4.93892028
    307	118.07062810	  1.41391822	 86.60620336	  2.32773908	146.44655841	  1.45970668
    308	121.37295456	  1.53202351	 93.40301029	  3.21630350	153.18342466	  1.74543516
    309	120.58815889	  2.10342626	 93.75388768	  4.65250208	152.78293028	  3.83951956
    310	127.78258592	  2.19256446	104.93012338	  3.07006718	165.35151599	  3.43931238
    311	129.07009299	  1.35327219	105.65039014	  2.60695999	166.80730038	  2.24632366
    312	126.43167310	  1.62792507	108.68424445	  2.00842377	166.74000066	  1.29963130
    313	126.08924054	  2.49572637	106.79507427	  2.73440904	165.25822038	  2.66659117
    314	129.59770914	  3.36204769	114.07971332	  2.28759711	172.69026602	  2.08703032
    315	124.79926726	  2.53268695	115.63411337	  1.57695124	170.15328982	  1.69249030
    316	127.31651167	  2.81271539	111.68776191	  3.83815450	169.37427589	  4.31830603
    317	130.14210765	  1.92567253	114.86560938	  3.36119675	173.59863857	  3.09757130
    318	130.98506209	  3.02804619	116.09265178	  3.86579410	175.08401548	  2.07153049
    319	137.75725221	  3.87924552	112.58380605	  1.46193553	177.94018515	  2.57880360
